episode,reward,length_steps,length_seconds,success,termination_reason
1,997.4981582164764,1000,10.0,True,time_limit
2,276.0420065522194,284,2.84,False,failure
3,87.77359974384308,94,0.9400000000000001,False,failure
4,220.8045666217804,226,2.2600000000000002,False,failure
5,633.9089953899384,642,6.42,False,failure
6,304.36991810798645,309,3.09,False,failure
7,176.0028692483902,184,1.84,False,failure
8,996.1993868350983,1000,10.0,True,time_limit
9,210.57000255584717,216,2.16,False,failure
10,559.5899578928947,567,5.67,False,failure
