episode,reward,length_steps,length_seconds,success,termination_reason
1,57.14454597234726,64,0.64,False,failure
2,202.25820899009705,212,2.12,False,failure
3,196.04621136188507,202,2.02,False,failure
4,323.8787090778351,330,3.3000000000000003,False,failure
5,139.84872353076935,146,1.46,False,failure
6,61.49935740232468,68,0.68,False,failure
7,109.18079113960266,116,1.16,False,failure
8,149.6300344467163,156,1.56,False,failure
9,256.9595756530762,264,2.64,False,failure
10,116.87101757526398,123,1.23,False,failure
