Experiment,Algorithm,Param Value,Final Reward,Max Reward,Episodes
Discount Factor,SARSA,0.95,139.43,152.42,25000
Discount Factor,SARSA,0.5,142.3,179.62,25000
Discount Factor,SARSA,0.8,107.74,132.0,25000
Discount Factor,SARSA,0.99,150.01,169.24,25000
Discount Factor,Monte,0.99,345.33,465.85,25000
Discount Factor,Monte,0.5,223.74,237.77,25000
Discount Factor,Monte,0.8,322.52,421.17,25000
Discount Factor,Monte,0.95,355.34,373.49,25000
Discount Factor,Q,0.99,281.0,281.0,25000
Discount Factor,Q,0.95,219.12,248.24,25000
Discount Factor,Q,0.5,176.69,223.34,25000
Discount Factor,Q,0.8,214.29,226.57,25000
Discount Factor,Double,0.99,129.34,140.27,25000
Discount Factor,Double,0.5,89.76,128.94,25000
Discount Factor,Double,0.8,73.73,96.19,25000
Discount Factor,Double,0.95,108.79,140.3,25000
Learning Rate,Q,0.03,138.37,159.37,25000
Learning Rate,Q,0.25,490.55,585.24,25000
Learning Rate,Q,0.08,281.0,281.0,25000
Learning Rate,Q,0.15,229.26,299.98,25000
Learning Rate,Monte,0.25,186.35,270.99,25000
Learning Rate,Monte,0.15,242.08,308.86,25000
Learning Rate,Monte,0.03,230.14,363.61,25000
Learning Rate,Monte,0.08,345.33,465.85,25000
Learning Rate,SARSA,0.25,406.84,426.52,25000
Learning Rate,SARSA,0.03,111.38,127.62,25000
Learning Rate,SARSA,0.08,150.01,169.24,25000
Learning Rate,SARSA,0.15,188.17,247.24,25000
Learning Rate,Double,0.25,156.98,191.22,25000
Learning Rate,Double,0.08,129.34,140.27,25000
Learning Rate,Double,0.15,150.13,189.79,25000
Learning Rate,Double,0.03,132.1,132.1,25000
Epsilon Decay,SARSA,0.9995,155.24,189.36,25000
Epsilon Decay,SARSA,0.995,164.95,176.51,25000
Epsilon Decay,SARSA,0.998,142.76,186.6,25000
Epsilon Decay,SARSA,0.9999,157.3,174.82,25000
